,DC_Healthy,DC_Severe,Epithelial_2_Healthy,Epithelial_2_Severe
MCPH1,3.297738606,3.955853555,5.312027388,NaN
NOB1,4.380844331,5.158727451,5.312069016,5.555307493
NUCB1,6.329508861,6.236710693,5.312317676,4.073004706
MRPS31,4.208311059,NaN,5.312554268,4.073004706
MOB2,3.541619578,3.41536001,5.31266143,5.996702856
MRPS18C,5.687922177,5.259711387,5.313281698,5.996702856
EFNB1,3.25802487,NaN,5.313557504,NaN
FBRSL1,4.526800983,3.70332671,5.313597111,5.555307493
WASL,3.743204047,3.376967043,5.31372962,4.073004706
MAPK1,5.306641459,5.485465868,5.313799574,NaN
TNFRSF19,NaN,NaN,5.313803273,NaN
BROX,5.75334587,5.205151093,5.314090107,NaN
MBD6,4.608839074,3.915318456,5.315340468,NaN
USF2,5.399164538,5.716910608,5.316437123,5.555307493
ZMYND11,3.24197436,NaN,5.317931073,4.073004706
SYNJ2BP,3.386305273,4.674952951,5.318526364,5.555307493
RAB1A,5.786586807,5.516177063,5.318606061,4.073004706
ARHGAP12,3.334865815,NaN,5.319697243,4.073004706
CLASRP,4.003327971,4.897823587,5.319875379,5.555307493
NRG1,NaN,NaN,5.319958044,NaN
RER1,5.931729292,6.42171472,5.320762654,NaN
RTN3,5.913887617,4.816123307,5.321009365,6.792820465
HAX1,5.753834077,5.807457557,5.321142349,6.996702856
EMD,5.670641927,4.933633894,5.321410989,6.792820465
PNPT1,3.920238516,NaN,5.322208001,NaN
ADAT2,NaN,NaN,5.322276414,NaN
PSMG3,4.091655435,3.565179023,5.323311767,5.555307493
FAM49B,7.963887911,7.89121447,5.325112493,5.555307493
MAEA,3.09832865,4.175760785,5.325760286,NaN
OTULIN,5.886082089,5.58044396,5.326200421,NaN
KRAS,5.280526485,6.064191271,5.32676533,NaN
CACYBP,6.244104623,6.743909975,5.329507411,NaN
SMARCD2,4.954507904,5.461020687,5.329905007,NaN
KIF1B,4.396809556,NaN,5.33023649,NaN
DYNLL2,4.446029852,4.596572053,5.330783735,NaN
TERF1,4.543636497,5.333737152,5.330835028,5.555307493
RARS,4.03055988,4.136982391,5.331918724,4.073004706
CLPX,4.842818877,4.576937627,5.331999197,4.073004706
SMIM14,6.97725246,6.637031221,5.332068672,NaN
ECHDC1,6.072191427,5.419686207,5.33263811,4.073004706
PHAX,2.943089622,4.802708183,5.334363003,5.996702856
PML,3.909181095,3.89989887,5.335986795,NaN
CLK4,3.9777669,3.821078956,5.335990293,NaN
SPCS3,6.969816398,6.554744837,5.336013997,8.088767506
UBE2A,6.077284361,6.532277598,5.336297038,NaN
PCLO,NaN,NaN,5.337538905,NaN
VAPB,3.846427904,4.785509187,5.338406587,NaN
SPRED1,3.178533072,NaN,5.338721515,NaN
FKBP14,5.041886467,4.536047408,5.339226536,5.073004706
MVP,5.945429303,6.259763519,5.339354327,5.073004706
MIER1,5.855299285,4.922381933,5.340324958,5.996702856
ROMO1,7.092818689,6.8975746,5.341046601,6.607550294
ZNF605,3.008993518,NaN,5.341687313,NaN
ARHGEF3,3.843769442,3.256729986,5.341804682,NaN
PPP2CA,5.391318405,5.650708846,5.342745598,NaN
RBM12B,3.328365262,NaN,5.343026015,NaN
ZNF302,4.764836389,NaN,5.343398264,NaN
NSD2,4.23174784,3.885213558,5.343761172,NaN
ATRAID,6.143175386,5.771651158,5.34414739,5.073004706
PHF6,6.110596589,5.752460199,5.344561718,NaN
CITED4,NaN,3.751375171,5.345537578,NaN
CSTF3,5.02312498,4.828157038,5.346025328,NaN
TIPRL,5.128118297,4.809478093,5.346606013,5.996702856
MTREX,4.381149272,6.0084662,5.346736152,5.555307493
PFDN6,3.288488207,5.160011834,5.346882562,NaN
TRAF3IP1,NaN,NaN,5.347168191,5.073004706
ABI2,3.812826507,4.592443851,5.347351835,5.555307493
ARMC8,4.324869796,4.181151574,5.348832764,NaN
PSMG1,3.219884983,NaN,5.34970362,NaN
AP5M1,4.474823741,3.886478721,5.350454776,NaN
SMIM19,5.614022022,5.572518929,5.350566716,NaN
DNAJC19,4.902178902,5.549963691,5.350726555,5.996702856
CARHSP1,5.285223889,5.269097287,5.350757905,4.073004706
ZNHIT6,3.765906681,3.745395557,5.351315117,4.073004706
ZFHX3,6.654459944,5.051235973,5.351973207,NaN
MBD5,3.16925564,3.215917458,5.351983394,NaN
APH1A,6.707441524,6.804051968,5.35213885,5.555307493
ITSN1,NaN,NaN,5.352385883,5.073004706
ARL1,5.281258261,5.353068147,5.352874011,6.334217577
EVL,6.511269944,6.820156723,5.353968579,4.073004706
SFT2D2,7.312100828,7.002946709,5.355241427,4.073004706
CD2AP,5.074759935,4.72457552,5.356150103,NaN
TMEM41B,3.717031488,4.530006728,5.356248138,NaN
DUSP23,4.934373219,5.299520765,5.356623729,NaN
MKNK2,5.927057819,5.818813442,5.357280116,5.073004706
SAMD1,6.591588635,6.116187828,5.357280343,NaN
SMPD4,2.600454442,NaN,5.357400741,NaN
TRAPPC1,6.987447711,7.739248163,5.35746947,5.555307493
MRPL12,4.039418044,5.219166968,5.35878833,NaN
MRPS7,5.514831884,5.138009494,5.359014248,4.073004706
KIF13A,3.387346312,NaN,5.360336883,NaN
ATAD2B,4.89121395,5.150493224,5.360461239,NaN
NELFE,4.562703581,5.313218096,5.360706508,6.792820465
SPATS2,4.407931896,5.536638362,5.360723667,6.334217577
PSMD13,5.974272323,6.385338364,5.360931957,4.073004706
TWF1,5.227666867,NaN,5.361069239,5.555307493
TMEM30A,5.355373527,5.672896557,5.36197767,5.555307493
HTATIP2,3.368168562,3.665649095,5.363079812,NaN
TCEAL8,4.41194182,5.632572254,5.363473279,5.555307493
PACSIN3,NaN,NaN,5.363943601,NaN
MCC,NaN,NaN,5.364380762,NaN
ING2,NaN,3.161494088,5.364447258,NaN
OAT,5.309649588,5.097198667,5.364918623,NaN
COX14,5.743612979,6.94091493,5.365643953,4.073004706
ERGIC3,6.285016098,5.742319041,5.366278327,6.837253902
SLC43A3,3.853163853,3.055006194,5.367220098,NaN
PPCS,5.286625565,5.938332434,5.368252997,4.073004706
ZNF385A,5.194843784,5.663769645,5.368356103,4.073004706
PCMTD2,4.522665761,NaN,5.369786497,NaN
U2AF2,4.826468865,3.723050223,5.369791102,4.073004706
CASZ1,NaN,NaN,5.370035691,NaN
SLC6A6,5.342711083,3.209476785,5.370463598,4.073004706
TNRC18,3.387917665,3.710815765,5.371232556,4.073004706
AKAP17A,5.699916077,5.372680184,5.372138534,4.073004706
VEGFA,NaN,NaN,5.372257401,4.073004706
PCBD1,5.090674822,6.212947539,5.372678202,4.073004706
ULK1,NaN,NaN,5.372993097,NaN
DHRS7,6.555699683,6.834191455,5.373168413,6.334217577
C1orf56,6.914501286,NaN,5.373876583,NaN
COX19,4.155017465,3.966787447,5.374931273,5.555307493
UFM1,5.904413222,5.985229246,5.376254311,6.996702856
PAXX,5.397948308,6.486959877,5.376683628,NaN
DLG5,NaN,NaN,5.37953483,NaN
TTC1,5.398247718,6.122691062,5.380221491,NaN
USP3,5.661772036,5.299778913,5.380988976,NaN
PLXNB2,5.363480169,4.864657972,5.381667365,NaN
LAMB2,NaN,NaN,5.382074197,6.073004706
STXBP5,NaN,NaN,5.382537018,5.555307493
CARS2,3.504053732,5.383119725,5.382934151,5.555307493
ZCCHC8,5.488965966,4.328175893,5.384199283,NaN
MAPK8,3.247521497,3.687955182,5.384822052,NaN
SDHA,6.214331987,6.109683222,5.385405149,4.073004706
SEC61G,6.622642654,7.334805901,5.385492542,7.678946232
ZNF33A,4.854653927,5.027628568,5.385611271,NaN
CKS1B,3.480695797,4.093367598,5.385677335,NaN
GPI,4.247361065,5.198312714,5.385863979,NaN
ZSCAN18,NaN,4.077347975,5.38603954,NaN
LYRM2,4.782236288,3.846393472,5.386070092,NaN
MAP3K20,5.473225624,5.793222018,5.386724415,NaN
MZT2A,7.028512437,8.126683996,5.387098984,5.073004706
MEIS1,NaN,NaN,5.387168825,NaN
WDR70,4.417608328,3.972633488,5.387174061,NaN
SLC25A39,5.644852878,5.845010059,5.387408847,5.073004706
CDH3,NaN,NaN,5.388659602,NaN
TCF7L2,NaN,NaN,5.388737448,NaN
NAPA,4.846639096,5.640470651,5.388926827,NaN
EPS8L2,3.491445542,3.992695832,5.389853845,NaN
TMEM14B,6.614130246,6.684503606,5.390200518,5.555307493
PAIP1,5.094731658,4.033301435,5.390351247,NaN
ASCL2,3.368235538,NaN,5.390402593,NaN
FKBP9,NaN,NaN,5.390770449,NaN
USP1,5.258453253,5.962736068,5.391111698,NaN
