,DC_Healthy,DC_Severe,Epithelial_2_Healthy,Epithelial_2_Severe
FBN2,NaN,NaN,NaN,NaN
FBN3,NaN,NaN,NaN,NaN
FBP1,4.700782103,4.062758062,NaN,NaN
FBP2,NaN,NaN,NaN,NaN
FBRS,5.462506404,4.385053385,NaN,4.073004706
FBXL12,2.508701677,NaN,NaN,NaN
FBXL13,NaN,NaN,NaN,NaN
FBXL14,NaN,NaN,NaN,NaN
FBXL15,4.28567192,5.137186814,NaN,NaN
FBXL16,NaN,NaN,NaN,NaN
FBXL17,3.24160493,NaN,NaN,NaN
FBXL18,NaN,NaN,NaN,NaN
FBXL19,NaN,NaN,NaN,NaN
FBXL19-AS1,NaN,NaN,NaN,NaN
FBXL2,NaN,NaN,NaN,NaN
FBXL20,3.79664114,4.257584758,NaN,4.073004706
FBXL22,NaN,NaN,NaN,NaN
FBXL3,4.47736777,3.197454384,NaN,NaN
FBXL4,NaN,NaN,NaN,NaN
FBXL6,5.133281079,NaN,NaN,NaN
FBXL7,NaN,NaN,NaN,NaN
FBXL8,NaN,NaN,NaN,5.555307493
FBXO10,NaN,NaN,NaN,NaN
FBXO11,5.408762407,4.923104885,NaN,5.555307493
FBXO15,NaN,NaN,NaN,NaN
FBXO16,NaN,NaN,NaN,NaN
FBXO17,3.673483951,NaN,NaN,NaN
FBXO2,NaN,NaN,NaN,NaN
FBXO24,NaN,NaN,NaN,NaN
FBXO25,4.337633327,4.078042595,NaN,NaN
FBXO27,5.975738486,6.283923107,NaN,NaN
FBXO28,3.005762539,3.719040925,NaN,NaN
FBXO3,2.622818612,NaN,NaN,NaN
FBXO3-DT,NaN,NaN,NaN,NaN
FBXO30,3.631694397,3.068621955,NaN,4.073004706
FBXO31,NaN,NaN,NaN,NaN
FBXO32,NaN,NaN,NaN,NaN
FBXO33,4.137276743,NaN,NaN,NaN
FBXO34,4.897429446,4.321115592,NaN,NaN
FBXO36,NaN,NaN,NaN,NaN
FBXO38,2.917131869,NaN,NaN,NaN
FBXO39,NaN,NaN,NaN,NaN
FBXO4,NaN,NaN,NaN,NaN
FBXO40,NaN,NaN,NaN,NaN
FBXO41,NaN,NaN,NaN,NaN
FBXO42,3.953940554,4.800291143,NaN,NaN
FBXO43,NaN,NaN,NaN,NaN
FBXO44,3.47644998,3.05894506,NaN,NaN
FBXO45,3.260740961,NaN,NaN,NaN
FBXO46,NaN,NaN,NaN,NaN
FBXO47,NaN,NaN,NaN,NaN
FBXO48,NaN,NaN,NaN,NaN
FBXO5,NaN,NaN,NaN,NaN
FBXO6,3.475926381,3.501187055,NaN,NaN
FBXO7,5.718823371,6.000940014,NaN,NaN
FBXO8,2.121337827,NaN,NaN,NaN
FBXW10,NaN,NaN,NaN,NaN
FBXW12,NaN,NaN,NaN,NaN
FBXW4,3.900855964,NaN,NaN,NaN
FBXW5,6.122511687,6.35465851,NaN,4.073004706
FBXW7-AS1,NaN,NaN,NaN,NaN
FBXW8,NaN,3.543105613,NaN,NaN
FBXW9,NaN,NaN,NaN,NaN
FCAMR,NaN,NaN,NaN,NaN
FCAR,NaN,NaN,NaN,NaN
FCER1A,NaN,NaN,NaN,NaN
FCER1G,7.874832024,7.368960071,NaN,NaN
FCER2,NaN,NaN,NaN,NaN
FCF1,3.485033465,NaN,NaN,NaN
FCGBP,NaN,NaN,NaN,NaN
FCGR1A,NaN,NaN,NaN,NaN
FCGR1B,NaN,NaN,NaN,NaN
FCGR2A,NaN,NaN,NaN,NaN
FCGR2B,NaN,NaN,NaN,5.996702856
FCGR3A,NaN,NaN,NaN,NaN
FCGR3B,NaN,NaN,NaN,NaN
FCHO1,2.899846398,4.352747769,NaN,NaN
FCHO2,4.759782217,NaN,NaN,4.073004706
FCHSD1,NaN,NaN,NaN,NaN
FCHSD2,6.183497341,5.296909954,NaN,5.555307493
FCMR,NaN,NaN,NaN,NaN
FCN1,NaN,NaN,NaN,NaN
FCN2,NaN,NaN,NaN,NaN
FCN3,NaN,NaN,NaN,NaN
FCRL1,NaN,NaN,NaN,NaN
FCRL2,NaN,NaN,NaN,4.073004706
FCRL3,NaN,NaN,NaN,NaN
FCRL4,NaN,NaN,NaN,NaN
FCRL5,NaN,NaN,NaN,6.607550294
FCRL6,2.964562407,NaN,NaN,NaN
FCRLA,NaN,NaN,NaN,5.555307493
FCRLB,NaN,NaN,NaN,5.555307493
FDCSP,NaN,NaN,NaN,NaN
FDFT1,4.909063339,5.996377013,NaN,NaN
FDX1,4.172125869,5.111161061,NaN,NaN
FDX2,NaN,NaN,NaN,NaN
FDXACB1,NaN,NaN,NaN,NaN
FDXR,NaN,NaN,NaN,NaN
FECH,4.172193568,3.482105813,NaN,NaN
FEM1A,NaN,NaN,NaN,NaN
FEM1C,2.442965466,3.346934315,NaN,NaN
FEN1,NaN,NaN,NaN,NaN
FENDRR,NaN,NaN,NaN,NaN
FER1L5,NaN,NaN,NaN,NaN
FER1L6,NaN,NaN,NaN,NaN
FER1L6-AS1,NaN,NaN,NaN,NaN
FER1L6-AS2,NaN,NaN,NaN,NaN
FERD3L,NaN,NaN,NaN,NaN
FERMT2,2.11082974,NaN,NaN,NaN
FERMT3,6.195036208,5.803008157,NaN,NaN
FES,5.258568316,5.825701272,NaN,NaN
FETUB,NaN,NaN,NaN,NaN
FEV,NaN,NaN,NaN,NaN
FEZ1,NaN,NaN,NaN,NaN
FEZF1,NaN,NaN,NaN,NaN
FEZF1-AS1,NaN,NaN,NaN,NaN
FEZF2,NaN,NaN,NaN,NaN
FFAR1,NaN,NaN,NaN,NaN
FFAR2,NaN,NaN,NaN,NaN
FFAR3,NaN,NaN,NaN,NaN
FFAR4,5.763504541,NaN,NaN,NaN
FGA,NaN,NaN,NaN,NaN
FGB,NaN,NaN,NaN,NaN
FGD1,NaN,NaN,NaN,NaN
FGD2,7.143350892,6.589929788,NaN,NaN
FGD3,2.281351739,3.167312044,NaN,NaN
FGD4,3.325354262,NaN,NaN,NaN
FGD5,NaN,NaN,NaN,NaN
FGF1,NaN,NaN,NaN,NaN
FGF10,NaN,NaN,NaN,NaN
FGF10-AS1,NaN,NaN,NaN,NaN
FGF11,NaN,NaN,NaN,NaN
FGF12,NaN,NaN,NaN,4.073004706
FGF12-AS1,NaN,NaN,NaN,NaN
FGF12-AS2,NaN,NaN,NaN,NaN
FGF12-AS3,NaN,NaN,NaN,NaN
FGF13,NaN,NaN,NaN,NaN
FGF13-AS1,NaN,NaN,NaN,NaN
FGF14,NaN,NaN,NaN,NaN
FGF14-AS1,NaN,NaN,NaN,NaN
FGF14-AS2,NaN,NaN,NaN,NaN
FGF16,NaN,NaN,NaN,NaN
FGF17,NaN,NaN,NaN,NaN
FGF18,NaN,NaN,NaN,NaN
FGF19,NaN,NaN,NaN,NaN
FGF2,NaN,NaN,NaN,5.555307493
FGF20,NaN,NaN,NaN,NaN
FGF21,NaN,NaN,NaN,NaN
FGF22,NaN,NaN,NaN,NaN
FGF23,NaN,NaN,NaN,NaN
FGF3,NaN,NaN,NaN,NaN
FGF4,NaN,NaN,NaN,NaN
FGF5,NaN,NaN,NaN,NaN
FGF6,NaN,NaN,NaN,NaN
FGF7,NaN,NaN,NaN,5.555307493
FGF8,NaN,NaN,NaN,NaN
FGF9,NaN,NaN,NaN,NaN
FGFBP2,NaN,NaN,NaN,NaN
FGFBP3,NaN,NaN,NaN,NaN
FGFR1,NaN,NaN,NaN,4.073004706
FGFR1OP,3.123187767,3.571477245,NaN,NaN
FGFR4,NaN,NaN,NaN,NaN
FGFRL1,NaN,NaN,NaN,NaN
FGG,NaN,NaN,NaN,NaN
FGGY,3.242074657,NaN,NaN,NaN
FGL1,NaN,NaN,NaN,NaN
FGL2,9.532852874,9.946574143,NaN,NaN
FGR,5.838313689,6.767443309,NaN,NaN
FH,3.651697989,3.390237056,NaN,NaN
FHAD1,NaN,NaN,NaN,NaN
FHDC1,NaN,NaN,NaN,NaN
FHL1,NaN,NaN,NaN,NaN
FHL3,4.381872643,4.218256166,NaN,NaN
FHL5,NaN,NaN,NaN,NaN
FHOD1,5.267296516,4.037116738,NaN,NaN
FHOD3,NaN,NaN,NaN,NaN
FIBCD1,NaN,NaN,NaN,NaN
FIBIN,NaN,NaN,NaN,NaN
FIBP,5.840837386,6.597796931,NaN,5.555307493
FICD,2.582505692,NaN,NaN,NaN
FIG4,3.79742601,NaN,NaN,NaN
FIGLA,NaN,NaN,NaN,NaN
FIGN,NaN,NaN,NaN,NaN
FIGNL2,NaN,NaN,NaN,NaN
FILIP1,NaN,NaN,NaN,NaN
FILIP1L,6.817216002,4.193077139,NaN,NaN
FILNC1,NaN,NaN,NaN,NaN
FIP1L1,5.587166504,5.449878038,NaN,4.073004706
FIRRE,NaN,NaN,NaN,NaN
FITM1,NaN,NaN,NaN,NaN
FITM2,NaN,NaN,NaN,NaN
FIZ1,NaN,NaN,NaN,NaN
FJX1,2.465839996,NaN,NaN,NaN
FKBP10,NaN,NaN,NaN,NaN
FKBP11,2.380983182,4.400947809,NaN,7.302874089
FKBP15,5.061052815,6.332557488,NaN,NaN
FKBP1B,6.610179555,5.220027958,NaN,NaN
FKBP1C,NaN,NaN,NaN,NaN
FKBP6,NaN,NaN,NaN,NaN
FKBP7,NaN,NaN,NaN,4.073004706
FKBPL,2.805903312,NaN,NaN,NaN
FKRP,NaN,NaN,NaN,NaN
FKTN,2.878032572,NaN,NaN,NaN
FLAD1,4.808409015,4.894831593,NaN,5.555307493
FLCN,NaN,NaN,NaN,NaN
FLG,NaN,NaN,NaN,NaN
FLG-AS1,NaN,NaN,NaN,NaN
FLG2,NaN,NaN,NaN,NaN
FLI1,4.6829321,3.913089012,NaN,NaN
FLII,5.92993214,5.295195721,NaN,NaN
FLJ45513,NaN,NaN,NaN,NaN
FLNB-AS1,NaN,NaN,NaN,NaN
FLNC,NaN,NaN,NaN,NaN
FLNC-AS1,NaN,NaN,NaN,NaN
FLOT1,6.053046694,6.579666352,NaN,6.555307493
FLOT2,5.039693517,6.098183625,NaN,5.555307493
FLRT1,NaN,NaN,NaN,NaN
FLRT2,NaN,NaN,NaN,NaN
FLRT3,NaN,NaN,NaN,4.073004706
FLT1,NaN,NaN,NaN,NaN
FLT3,6.141195568,6.912782266,NaN,NaN
FLT3LG,NaN,NaN,NaN,NaN
FLT4,NaN,NaN,NaN,NaN
FLVCR1,3.968676082,3.844786865,NaN,NaN
FLVCR1-DT,NaN,3.076116431,NaN,NaN
FLVCR2,NaN,NaN,NaN,NaN
FLYWCH1,3.28113793,NaN,NaN,NaN
FLYWCH2,NaN,NaN,NaN,NaN
FMC1,2.939220118,3.593390121,NaN,4.073004706
FMN1,3.814975827,NaN,NaN,NaN
FMN2,NaN,NaN,NaN,NaN
FMNL1,7.592164421,7.369734331,NaN,NaN
FMNL2,6.468613309,5.170567363,NaN,NaN
FMNL3,NaN,NaN,NaN,NaN
FMO1,NaN,NaN,NaN,NaN
FMO2,NaN,NaN,NaN,NaN
FMO3,NaN,NaN,NaN,5.555307493
FMO4,NaN,NaN,NaN,NaN
FMO5,NaN,NaN,NaN,NaN
FMOD,NaN,NaN,NaN,6.996702856
FMR1,2.931711088,4.34429094,NaN,NaN
FMR1NB,NaN,NaN,NaN,NaN
FN1,NaN,NaN,NaN,6.394932801
FN3K,NaN,NaN,NaN,NaN
FN3KRP,2.326167333,NaN,NaN,4.073004706
FNBP1,8.470655709,8.620920844,NaN,5.555307493
FNBP1L,4.421198908,4.063127757,NaN,NaN
FNDC1,NaN,NaN,NaN,NaN
FNDC10,NaN,NaN,NaN,NaN
FNDC11,NaN,NaN,NaN,NaN
FNDC3B,NaN,NaN,NaN,6.996702856
FNDC4,NaN,NaN,NaN,4.073004706
FNDC5,NaN,NaN,NaN,NaN
FNDC7,NaN,NaN,NaN,NaN
FNDC8,NaN,NaN,NaN,NaN
FNDC9,NaN,NaN,NaN,NaN
FNIP1,4.237171728,3.405132482,NaN,4.073004706
FNIP2,6.472500165,6.9914432,NaN,NaN
FNTB,NaN,NaN,NaN,NaN
FO393400.1,NaN,NaN,NaN,NaN
FO393401.1,NaN,3.243606557,NaN,6.555307493
FO393408.1,NaN,NaN,NaN,NaN
FO393415.1,NaN,NaN,NaN,NaN
FO393415.3,NaN,NaN,NaN,NaN
FO393418.1,NaN,NaN,NaN,NaN
FO393419.2,NaN,NaN,NaN,NaN
FO680682.1,NaN,NaN,NaN,NaN
FO681492.1,NaN,NaN,NaN,NaN
FO704657.1,NaN,NaN,NaN,NaN
FOCAD,NaN,NaN,NaN,NaN
FOCAD-AS1,NaN,NaN,NaN,NaN
FOLH1,NaN,NaN,NaN,NaN
FOLR1,NaN,NaN,NaN,NaN
FOLR2,NaN,NaN,NaN,NaN
FOLR3,NaN,NaN,NaN,NaN
FOPNL,3.655794223,3.34138377,NaN,NaN
FOSL1,NaN,NaN,NaN,NaN
FOXA1,NaN,NaN,NaN,NaN
FOXA2,NaN,NaN,NaN,NaN
FOXA3,NaN,NaN,NaN,NaN
FOXB1,4.59680945,NaN,NaN,NaN
FOXB2,NaN,NaN,NaN,NaN
FOXC1,NaN,NaN,NaN,NaN
FOXC2,NaN,NaN,NaN,NaN
FOXC2-AS1,NaN,NaN,NaN,NaN
FOXCUT,NaN,NaN,NaN,NaN
FOXD1,NaN,NaN,NaN,NaN
FOXD1-AS1,NaN,NaN,NaN,NaN
FOXD2,NaN,NaN,NaN,NaN
FOXD2-AS1,NaN,NaN,NaN,NaN
FOXD3,NaN,NaN,NaN,NaN
FOXD3-AS1,NaN,NaN,NaN,NaN
FOXD4,NaN,NaN,NaN,NaN
FOXD4L1,NaN,NaN,NaN,NaN
FOXD4L3,NaN,NaN,NaN,NaN
FOXD4L4,NaN,NaN,NaN,NaN
FOXD4L5,NaN,NaN,NaN,NaN
FOXD4L6,NaN,NaN,NaN,NaN
FOXE3,NaN,NaN,NaN,NaN
FOXF1,NaN,NaN,NaN,NaN
FOXF2,NaN,NaN,NaN,4.073004706
FOXG1,NaN,NaN,NaN,NaN
FOXG1-AS1,NaN,NaN,NaN,NaN
FOXH1,NaN,NaN,NaN,NaN
FOXI1,NaN,NaN,NaN,NaN
FOXI2,NaN,NaN,NaN,NaN
FOXI3,NaN,NaN,NaN,NaN
FOXJ1,NaN,NaN,NaN,NaN
FOXJ2,NaN,NaN,NaN,NaN
FOXK2,3.302206615,NaN,NaN,NaN
FOXL1,NaN,NaN,NaN,NaN
FOXL2,NaN,NaN,NaN,NaN
FOXL2NB,NaN,NaN,NaN,NaN
FOXM1,NaN,NaN,NaN,NaN
FOXN1,NaN,NaN,NaN,NaN
FOXN2,6.533518942,5.908859181,NaN,NaN
FOXN3-AS1,3.790084216,3.69133775,NaN,NaN
FOXN3-AS2,NaN,NaN,NaN,NaN
FOXN4,NaN,NaN,NaN,NaN
FOXO1,NaN,3.001734667,NaN,NaN
FOXO4,NaN,NaN,NaN,NaN
FOXO6,NaN,NaN,NaN,NaN
FOXP1-AS1,NaN,NaN,NaN,NaN
FOXP3,NaN,NaN,NaN,NaN
FOXP4,2.82640814,NaN,NaN,NaN
FOXP4-AS1,NaN,NaN,NaN,NaN
FOXR1,NaN,NaN,NaN,NaN
FOXR2,NaN,NaN,NaN,NaN
FOXRED1,2.902568025,NaN,NaN,NaN
FOXRED2,NaN,NaN,NaN,NaN
FOXS1,NaN,NaN,NaN,NaN
FP236240.1,NaN,NaN,NaN,NaN
FP236241.1,NaN,NaN,NaN,NaN
FP236315.1,NaN,NaN,NaN,NaN
FP236315.3,NaN,NaN,NaN,NaN
FP236383.1,NaN,NaN,NaN,NaN
FP236383.2,NaN,NaN,NaN,NaN
FP236383.3,NaN,NaN,NaN,NaN
FP325318.1,NaN,NaN,NaN,NaN
FP325330.1,NaN,NaN,NaN,NaN
FP325330.2,NaN,NaN,NaN,NaN
FP325330.3,NaN,NaN,NaN,NaN
FP475955.1,NaN,NaN,NaN,NaN
FP475955.2,NaN,NaN,NaN,NaN
FP475955.3,NaN,NaN,NaN,NaN
FP565171.1,NaN,NaN,NaN,NaN
FP565260.1,NaN,NaN,NaN,NaN
FP565260.2,NaN,NaN,NaN,NaN
FP565260.3,NaN,NaN,NaN,NaN
FP565260.4,NaN,NaN,NaN,NaN
FP565260.5,NaN,NaN,NaN,NaN
FP565260.6,NaN,NaN,NaN,NaN
FP671120.1,NaN,NaN,NaN,NaN
FP671120.3,NaN,NaN,NaN,NaN
FP671120.4,NaN,NaN,NaN,NaN
FP700111.1,NaN,NaN,NaN,NaN
FPGS,4.280086685,3.80352821,NaN,NaN
FPGT,NaN,NaN,NaN,NaN
FPGT-TNNI3K,NaN,NaN,NaN,NaN
FPR1,NaN,3.663482744,NaN,NaN
FPR2,NaN,NaN,NaN,NaN
FPR3,NaN,NaN,NaN,NaN
FRAS1,NaN,NaN,NaN,NaN
FRAT1,2.423338885,3.302003516,NaN,NaN
FRAT2,4.882395738,3.707643939,NaN,NaN
FREM1,NaN,NaN,NaN,NaN
FREM2,NaN,NaN,NaN,NaN
FREM2-AS1,NaN,NaN,NaN,NaN
FREM3,NaN,NaN,NaN,NaN
FRG1-DT,NaN,NaN,NaN,NaN
FRG2,NaN,NaN,NaN,NaN
FRG2B,NaN,NaN,NaN,NaN
FRG2C,NaN,NaN,NaN,NaN
FRGCA,NaN,NaN,NaN,NaN
FRK,NaN,NaN,NaN,NaN
FRMD1,NaN,NaN,NaN,NaN
FRMD3,NaN,NaN,NaN,NaN
FRMD4A,5.445989148,4.845152852,NaN,4.073004706
FRMD5,NaN,NaN,NaN,NaN
FRMD6,NaN,NaN,NaN,7.581665357
FRMD6-AS1,NaN,NaN,NaN,NaN
FRMD6-AS2,NaN,NaN,NaN,NaN
FRMD7,NaN,NaN,NaN,NaN
FRMD8,4.608671155,NaN,NaN,NaN
FRMPD1,NaN,NaN,NaN,NaN
FRMPD2,NaN,NaN,NaN,NaN
FRMPD3,NaN,NaN,NaN,NaN
FRMPD3-AS1,NaN,NaN,NaN,NaN
FRMPD4,NaN,NaN,NaN,NaN
FRMPD4-AS1,NaN,NaN,NaN,NaN
FRRS1,NaN,NaN,NaN,NaN
FRRS1L,NaN,NaN,NaN,NaN
FRS2,2.143712175,NaN,NaN,NaN
FRS3,NaN,NaN,NaN,NaN
FRY,5.551839608,5.903835327,NaN,NaN
FRY-AS1,NaN,NaN,NaN,NaN
FRZB,NaN,NaN,NaN,5.073004706
FSBP,NaN,NaN,NaN,NaN
FSCB,NaN,NaN,NaN,NaN
FSCN2,NaN,NaN,NaN,NaN
FSCN3,NaN,NaN,NaN,NaN
FSD1,NaN,NaN,NaN,NaN
FSD1L,NaN,NaN,NaN,NaN
FSD2,NaN,NaN,NaN,NaN
FSHB,NaN,NaN,NaN,NaN
FSHR,NaN,NaN,NaN,NaN
FSIP1,NaN,NaN,NaN,NaN
FSIP2,NaN,NaN,NaN,NaN
FSIP2-AS1,NaN,NaN,NaN,NaN
FST,NaN,NaN,NaN,NaN
FSTL1,NaN,NaN,NaN,5.555307493
FSTL3,NaN,NaN,NaN,NaN
FSTL4,NaN,NaN,NaN,NaN
FSTL5,NaN,NaN,NaN,NaN
FTCD,NaN,NaN,NaN,NaN
FTCD-AS1,NaN,NaN,NaN,NaN
FTCDNL1,4.754680012,NaN,NaN,NaN
FTHL17,NaN,NaN,NaN,NaN
FTMT,NaN,NaN,NaN,NaN
FTO,NaN,NaN,NaN,5.555307493
FTSJ1,NaN,3.427160331,NaN,4.073004706
FTSJ3,3.334229389,4.75453905,NaN,NaN
FUBP3,3.921361656,4.032169108,NaN,NaN
FUCA1,6.539990218,7.123121679,NaN,NaN
FUCA2,5.102204846,4.655860368,NaN,6.792820465
FUK,3.389259737,NaN,NaN,NaN
FUNDC1,NaN,3.77762656,NaN,NaN
FUNDC2,4.853131042,5.316717474,NaN,5.555307493
FUOM,4.851753564,5.774304946,NaN,NaN
FURIN,3.027978802,NaN,NaN,4.073004706
FUT1,NaN,NaN,NaN,NaN
FUT10,3.620971187,NaN,NaN,NaN
FUT11,NaN,NaN,NaN,NaN
FUT2,NaN,NaN,NaN,NaN
FUT3,NaN,NaN,NaN,NaN
FUT4,NaN,NaN,NaN,NaN
FUT5,NaN,NaN,NaN,NaN
FUT6,NaN,NaN,NaN,NaN
FUT7,4.79691774,6.380484397,NaN,NaN
FUT8,5.402629402,3.646469951,NaN,5.555307493
FUT8-AS1,NaN,3.439015431,NaN,NaN
FUT9,NaN,NaN,NaN,NaN
FUZ,NaN,NaN,NaN,NaN
FXN,4.488888647,3.300695424,NaN,NaN
FXR2,3.131933299,4.216326151,NaN,NaN
FXYD1,NaN,NaN,NaN,NaN
FXYD2,NaN,NaN,NaN,NaN
FXYD4,NaN,NaN,NaN,NaN
FXYD5,7.16248093,7.115158784,NaN,7.140269993
FXYD6,NaN,NaN,NaN,NaN
FXYD6-FXYD2,NaN,NaN,NaN,NaN
FXYD7,NaN,NaN,NaN,NaN
FYB1,3.480635053,3.665710943,NaN,NaN
FYB2,NaN,NaN,NaN,NaN
FYCO1,NaN,NaN,NaN,NaN
FYN,6.215064533,6.095616094,NaN,NaN
FZD1,3.083624577,NaN,NaN,NaN
FZD10,NaN,NaN,NaN,NaN
FZD2,3.599690993,4.014152323,NaN,NaN
FZD3,4.105192284,5.256576346,NaN,NaN
FZD4,NaN,NaN,NaN,NaN
FZD5,3.611639671,NaN,NaN,NaN
FZD6,NaN,NaN,NaN,NaN
FZD7,NaN,NaN,NaN,NaN
FZD8,NaN,NaN,NaN,4.073004706
FZD9,NaN,NaN,NaN,NaN
FZR1,2.744831532,NaN,NaN,5.555307493
G0S2,5.452319777,6.424077684,NaN,NaN
G2E3,3.457938964,NaN,NaN,NaN
G2E3-AS1,NaN,NaN,NaN,NaN
G6PC,NaN,NaN,NaN,NaN
G6PC2,NaN,NaN,NaN,NaN
G6PC3,3.955088533,4.602930763,NaN,NaN
G6PD,3.913695441,3.994919267,NaN,NaN
GAA,5.502814861,5.189049719,NaN,4.073004706
GAB1,NaN,NaN,NaN,4.073004706
GAB2,2.036260161,NaN,NaN,NaN
GAB3,4.484104432,4.872737997,NaN,NaN
GAB4,NaN,NaN,NaN,NaN
GABARAP,6.705745411,6.885520359,NaN,5.555307493
GABARAPL1,2.189654418,2.994285756,NaN,NaN
GABBR1,NaN,3.879585993,NaN,5.555307493
GABBR2,NaN,NaN,NaN,NaN
GABPA,1.940078459,NaN,NaN,NaN
GABPB1,3.847184668,4.408580426,NaN,NaN
GABPB2,3.934726406,3.362979173,NaN,5.555307493
GABRA1,NaN,NaN,NaN,NaN
GABRA2,NaN,NaN,NaN,NaN
GABRA3,NaN,NaN,NaN,NaN
GABRA4,NaN,NaN,NaN,NaN
GABRA5,NaN,NaN,NaN,NaN
GABRA6,NaN,NaN,NaN,NaN
GABRB1,NaN,NaN,NaN,NaN
GABRB2,NaN,NaN,NaN,NaN
GABRB3,NaN,NaN,NaN,NaN
GABRD,NaN,NaN,NaN,NaN
GABRG1,NaN,NaN,NaN,NaN
GABRG2,NaN,NaN,NaN,NaN
GABRG3,NaN,NaN,NaN,4.073004706
GABRG3-AS1,NaN,NaN,NaN,NaN
GABRP,NaN,NaN,NaN,NaN
GABRQ,NaN,NaN,NaN,NaN
GABRR1,NaN,NaN,NaN,NaN
GABRR2,NaN,NaN,NaN,NaN
GABRR3,NaN,NaN,NaN,NaN
GACAT1,NaN,NaN,NaN,NaN
GACAT2,NaN,NaN,NaN,NaN
GACAT3,NaN,NaN,NaN,NaN
GAD1,NaN,NaN,NaN,NaN
GAD2,NaN,NaN,NaN,NaN
GADD45A,5.019548059,4.976268564,NaN,4.073004706
GADD45G,NaN,NaN,NaN,NaN
GADL1,NaN,NaN,NaN,NaN
GAGE1,NaN,NaN,NaN,NaN
GAGE10,NaN,NaN,NaN,NaN
GAGE12B,NaN,NaN,NaN,NaN
GAGE12C,NaN,NaN,NaN,NaN
GAGE12D,NaN,NaN,NaN,NaN
GAGE12E,NaN,NaN,NaN,NaN
GAGE12F,NaN,NaN,NaN,NaN
GAGE12G,NaN,NaN,NaN,NaN
GAGE12H,NaN,NaN,NaN,NaN
GAGE12J,NaN,NaN,NaN,NaN
GAGE13,NaN,NaN,NaN,NaN
GAGE2A,NaN,NaN,NaN,NaN
GAGE2E,NaN,NaN,NaN,NaN
GAK,4.723838226,4.131719291,NaN,NaN
GAL,NaN,NaN,NaN,NaN
GAL3ST1,NaN,NaN,NaN,NaN
GAL3ST2,NaN,NaN,NaN,NaN
GAL3ST3,NaN,NaN,NaN,NaN
GAL3ST4,NaN,NaN,NaN,NaN
GALC,2.802539426,NaN,NaN,NaN
GALE,2.579974033,NaN,NaN,NaN
GALK1,4.623687339,5.359527587,NaN,NaN
GALK2,4.772252367,3.38813016,NaN,NaN
GALM,6.757724774,5.159527979,NaN,NaN
GALNS,4.062721839,NaN,NaN,5.555307493
GALNT1,5.562773129,4.129895581,NaN,NaN
GALNT10,2.994035039,NaN,NaN,4.073004706
GALNT11,3.534230369,3.708177321,NaN,NaN
GALNT12,NaN,NaN,NaN,NaN
GALNT13,NaN,NaN,NaN,NaN
GALNT14,NaN,NaN,NaN,NaN
GALNT15,NaN,NaN,NaN,NaN
GALNT16,NaN,NaN,NaN,4.073004706
GALNT17,NaN,NaN,NaN,NaN
GALNT18,NaN,NaN,NaN,NaN
GALNT2,4.407811639,3.656081475,NaN,4.073004706
GALNT4,NaN,NaN,NaN,NaN
GALNT5,NaN,NaN,NaN,4.073004706
GALNT6,2.565399709,NaN,NaN,NaN
GALNT7,3.583279321,NaN,NaN,NaN
GALNT8,NaN,NaN,NaN,NaN
GALNT9,NaN,NaN,NaN,NaN
GALNTL5,NaN,NaN,NaN,NaN
GALNTL6,NaN,NaN,NaN,NaN
GALP,NaN,NaN,NaN,NaN
GALR1,NaN,NaN,NaN,NaN
GALR2,NaN,NaN,NaN,NaN
GALR3,NaN,NaN,NaN,NaN
GALT,4.725868586,4.821348034,NaN,5.073004706
GAMT,3.488309247,3.914423256,NaN,NaN
GANC,NaN,NaN,NaN,NaN
GAP43,NaN,NaN,NaN,NaN
GAPDHS,NaN,NaN,NaN,NaN
GAPLINC,NaN,NaN,NaN,NaN
GAPT,NaN,NaN,NaN,NaN
GAREM1,NaN,NaN,NaN,NaN
GAREM2,NaN,NaN,NaN,NaN
GARNL3,NaN,NaN,NaN,NaN
GARS,4.517406249,5.231172807,NaN,5.996702856
GAS1RR,NaN,NaN,NaN,NaN
GAS2,NaN,NaN,NaN,NaN
GAS2L1,2.851722807,NaN,NaN,NaN
GAS2L2,NaN,NaN,NaN,NaN
GAS2L3,5.165730229,3.473305174,NaN,NaN
GAS5-AS1,NaN,NaN,NaN,NaN
GAS6-AS1,3.869794797,NaN,NaN,NaN
GAS6-DT,NaN,NaN,NaN,NaN
GAS7,4.630137414,4.921168899,NaN,NaN
GAS8,NaN,NaN,NaN,NaN
GAS8-AS1,NaN,NaN,NaN,NaN
GASAL1,NaN,NaN,NaN,NaN
GAST,NaN,NaN,NaN,NaN
GATA1,NaN,NaN,NaN,NaN
GATA2,NaN,NaN,NaN,NaN
GATA2-AS1,NaN,NaN,NaN,NaN
GATA3,NaN,NaN,NaN,NaN
GATA3-AS1,NaN,NaN,NaN,NaN
GATA4,NaN,NaN,NaN,NaN
GATA5,NaN,NaN,NaN,NaN
GATA6,NaN,NaN,NaN,NaN
GATA6-AS1,NaN,NaN,NaN,NaN
GATAD2B,4.471217184,4.318891444,NaN,NaN
GATB,NaN,NaN,NaN,NaN
GATC,3.070123721,NaN,NaN,NaN
GATD1,NaN,NaN,NaN,4.073004706
GATD3A,3.46050876,NaN,NaN,NaN
GATD3B,NaN,NaN,NaN,NaN
GATM,3.414449322,NaN,NaN,NaN
