	source	source_genesymbol
621	P10636	MAPT
622	P10720	PF4V1
623	P10721	KIT
624	P10745	RBP3
625	P10767	FGF6
626	P10912	GHR
627	P10915	HAPLN1
628	P10966	CD8B
629	P10997	IAPP
630	P11047	LAMC1
631	P11487	FGF3
632	P11684	SCGB1A1
633	P12004	PCNA
634	P12034	FGF5
635	P12111	COL6A3
636	P12272	PTHLH
637	P12273	PIP
638	P12544	GZMA
639	P12643	BMP2
640	P12644	BMP4
641	P12645	BMP3
642	P12872	MLN
643	P13232	IL7
644	P13236	CCL4
645	P13497	BMP1
646	P13500	CCL2
647	P13501	CCL5
648	P13521	SCG2
649	P13611	VCAN
650	P13725	OSM
651	P13942	COL11A2
652	P13987	CD59
653	P14138	EDN3
654	P14174	MIF
655	P14210	HGF
656	P14410	SI
657	P14543	NID1
658	P14735	IDE
659	P15018	LIF
660	P15248	IL9
661	P15509	CSF2RA
662	P15692	VEGFA
663	P15941	MUC1
664	P16471	PRLR
665	P16562	CRISP2
666	P16619	CCL3L1
667	P16860	NPPB
668	P16871	IL7R
669	P17213	BPI
670	P17931	LGALS3
671	P18075	BMP7
672	P18509	ADCYAP1
673	P18510	IL1RN
674	P19021	PAM
675	P19235	EPOR
676	P19438	TNFRSF1A
677	P19875	CXCL2
678	P19876	CXCL3
679	P19883	FST
680	P19957	PI3
681	P20061	TCN1
682	P20231	TPSB2
683	P20333	TNFRSF1B
684	P20366	TAC1
685	P20382	PMCH
686	P20396	TRH
687	P20701	ITGAL
688	P20774	OGN
689	P20783	NTF3
690	P20800	EDN2
691	P20809	IL11
692	P21246	PTN
693	P21741	MDK
694	P21754	ZP3
695	P21781	FGF7
696	P22003	BMP5
697	P22004	BMP6
698	P22301	IL10
699	P22362	CCL1
700	P22455	FGFR4
701	P22466	GAL
702	P22607	FGFR3
703	P23142	FBLN1
704	P23297	S100A1
705	P23560	BDNF
706	P23582	NPPC
707	P24001	IL32
708	P24043	LAMA2
709	P24394	IL4R
710	P24821	TNC
711	P24844	MYL9
712	P25067	COL8A2
713	P25311	AZGP1
714	P25391	LAMA1
715	P25445	FAS
716	P25815	S100P
717	P26447	S100A4
718	P26927	MST1
719	P27487	DPP4
720	P27539	GDF1
721	P27797	CALR
722	P27918	CFP
723	P27930	IL1R2
724	P28799	GRN
725	P29279	CCN2
726	P29350	PTPN6
727	P29459	IL12A
728	P29460	IL12B
729	P29597	TYK2
730	P30990	NTS
731	P31371	FGF9
732	P32881	IFNA8
733	P34130	NTF4
734	P34820	BMP8B
735	P35030	PRSS3
736	P35225	IL13
737	P35247	SFTPD
738	P35318	ADM
739	P35442	THBS2
740	P35443	THBS4
741	P35916	FLT4
742	P36955	SERPINF1
743	P37840	SNCA
744	P39059	COL15A1
745	P39905	GDNF
746	P40189	IL6ST
747	P40222	TXLNA
748	P40225	THPO
749	P40933	IL15
750	P41159	LEP
751	P41161	ETV5
752	P41221	WNT5A
753	P42702	LIFR
754	P42830	CXCL5
755	P47972	NPTX2
756	P47992	XCL1
757	P48029	SLC6A8
758	P48061	CXCL12
759	P48357	LEPR
760	P48551	IFNAR2
761	P48645	NMU
762	P48745	CCN3
763	P49747	COMP
764	P49763	PGF
765	P49765	VEGFB
766	P49767	VEGFC
767	P49788	RARRES1
768	P51460	INSL3
769	P51671	CCL11
770	P51858	HDGF
771	P51884	LUM
772	P52823	STC1
773	P53621	COPA
774	P54108	CRISP3
775	P55000	SLURP1
776	P55001	MFAP2
777	P55056	APOC4
778	P55075	FGF8
779	P55089	UCN
780	P55103	INHBC
781	P55107	GDF10
782	P55268	LAMB2
783	P55773	CCL23
784	P55774	CCL18
785	P56703	WNT3
786	P56704	WNT3A
787	P56705	WNT4
788	P56706	WNT7B
789	P58166	INHBE
790	P58294	PROK1
791	P58417	NXPH1
792	P58499	FAM3B
793	P60022	DEFB1
794	P60568	IL2
795	P60903	S100A10
796	P61278	SST
797	P61328	FGF12
798	P61366	OSTN
799	P61812	TGFB2
800	P67809	YBX1
801	P78509	RELN
802	P78556	CCL20
803	P80075	CCL8
804	P80098	CCL7
805	P80162	CXCL6
806	P80511	S100A12
807	P81277	PRLH
808	P81534	DEFB103A
809	P83859	QRFP
810	P98095	FBLN2
811	Q00604	NDP
812	Q00887	PSG9
813	Q00888	PSG4
814	Q00889	PSG6
815	Q01113	IL9R
816	Q02747	GUCA2A
817	Q02763	TEK
818	Q03167	TGFBR3
819	Q03403	TFF2
820	Q03692	COL10A1
821	Q07092	COL16A1
822	Q07325	CXCL9
823	Q07654	TFF3
824	Q08345	DDR1
825	Q08380	LGALS3BP
826	Q08431	MFGE8
827	Q08648	SPAG11B
828	Q08830	FGL1
829	Q10586	DBP
830	Q12805	EFEMP1
831	Q12841	FSTL1
832	Q12904	AIMP1
833	Q13007	IL24
834	Q13046	PSG7
835	Q13129	RLF
836	Q13214	SEMA3B
837	Q13253	NOG
838	Q13261	IL15RA
839	Q13275	SEMA3F
840	Q13316	DMP1
841	Q13519	PNOC
842	Q13751	LAMB3
843	Q13753	LAMC2
844	Q14005	IL16
845	Q14011	CIRBP
846	Q14112	NID2
847	Q14116	IL18
848	Q14213	EBI3
849	Q14393	GAS6
850	Q14406	CSHL1
851	Q14563	SEMA3A
852	Q14626	IL11RA
853	Q14993	COL19A1
854	Q15063	POSTN
855	Q15109	AGER
856	Q15238	PSG5
857	Q15389	ANGPT1
858	Q15466	NR0B2
859	Q15485	FCN2
860	Q15661	TPSAB1
861	Q15726	KISS1
862	Q15818	NPTX1
863	Q15846	CLUL1
864	Q15848	ADIPOQ
865	Q16270	IGFBP7
866	Q16363	LAMA4
867	Q16552	IL17A
868	Q16610	ECM1
869	Q16619	CTF1
870	Q16627	CCL14
871	Q16661	GUCA2B
872	Q16663	CCL15
873	Q16674	MIA
874	Q16787	LAMA3
