Membrane proteins UniProt Membrane proteins Gene symbol
Q14114 LRP8
Q14118 DAG1
Q14126 DSG2
Q14242 SELPLG
Q14393 GAS6
Q14416 GRM2
Q14574 DSC3
Q14773 ICAM4
Q14831 GRM7
Q14833 GRM4
Q14982 OPCML
Q15063 POSTN
Q15109 AGER
Q15116 PDCD1
Q15165 PON2
Q15223 NECTIN1
Q15262 PTPRK
Q15303 ERBB4
Q15375 EPHA7
Q15465 SHH
Q15582 TGFBI
Q15762 CD226
Q15768 EFNB3
Q16288 NTRK3
Q16363 LAMA4
Q16570 ACKR1
Q16653 MOG
Q16787 LAMA3
Q16827 PTPRO
Q16832 DDR2
Q29980 MICB
Q29983 MICA
Q2MV58 TCTN1
Q2VWP7 PRTG
Q3KPI0 CEACAM21
Q495A1 TIGIT
Q5DX21 IGSF11
Q5JWF2 GNAS
Q5SQ64 LY6G6F
Q5T2D2 TREML2
Q5T9L3 WLS
Q5VWK5 IL23R
Q68D85 NCR3LG1
Q6H3X3 RAET1G
Q6NUS6 TCTN3
Q6NW40 RGMB
Q6PI73 LILRA6
Q6UVK1 CSPG4
Q6UW88 EPGN
Q6UWV2 MPZL3
Q6UX15 LAYN
Q6UX41 BTNL8
Q6UXG8 BTNL9
Q6UXK5 LRRN1
Q6UY09 CEACAM20
Q6UY11 DLK2
Q6V0I7 FAT4
Q6ZMC9 SIGLEC15
Q7KYR7 BTN2A1
Q7Z3B1 NEGR1
Q7Z6A9 BTLA
Q7Z7D3 VTCN1
Q86YT9 JAML
Q8IVU1 IGDCC3
Q8IWK6 ADGRA3
Q8IWL1 SFTPA2
Q8IWL2 SFTPA1
Q8IWV2 CNTN4
Q8IYV9 IZUMO1
Q8IZJ3 CPAMD8
Q8J025 APCDD1
Q8N0W4 NLGN4X
Q8N126 CADM3
Q8N2Q7 NLGN1
Q8N3J6 CADM2
Q8N423 LILRB2
Q8N441 FGFRL1
Q8N474 SFRP1
Q8N6C8 LILRA3
Q8N6Q3 CD177
Q8NAC3 IL17RC
Q8NC67 NETO2
Q8NCW0 KREMEN2
Q8NDV2 GPR26
Q8NFP4 MDGA1
Q8NFY4 SEMA6D
Q8NFZ3 NLGN4Y
Q8NFZ4 NLGN2
Q8NFZ8 CADM4
Q8NHJ6 LILRB4
Q8NHL6 LILRB1
Q8TAB3 PCDH19
Q8TD07 RAET1E
Q8TD46 CD200R1
Q8TD84 DSCAML1
Q8TDQ1 CD300LF
Q8TDY8 IGDCC4
Q8TEW0 PARD3
Q8WWV6 FCAMR
Q8WWY8 LIPH
Q8WXG9 ADGRV1
Q92542 NCSTN
Q92673 SORL1
Q92692 NECTIN2
Q92729 PTPRU
Q92752 TNR
Q92838 EDA
Q92854 SEMA4D
Q92859 NEO1
Q92896 GLG1
Q92956 TNFRSF14
Q96BF3 TMIGD2
Q96CW9 NTNG2
Q96D42 HAVCR1
Q96DU3 SLAMF6
Q96E93 KLRG1
Q96F46 IL17RA
Q96H15 TIMD4
Q96JA1 LRIG1
Q96JQ0 DCHS1
Q96LA6 FCRL1
Q96MS0 ROBO3
Q96MU8 KREMEN1
Q96N03 VSTM2L
Q96NI6 LRFN5
Q96NY8 NECTIN4
Q96PD2 DCBLD2
Q96PJ5 FCRL4
Q96QV1 HHIP
Q96RJ3 TNFRSF13C
Q96T91 GPHA2
Q99062 CSF3R
Q99075 HBEGF
Q99466 NOTCH4
Q99500 S1PR3
Q99650 OSMR
Q99677 LPAR4
Q99706 KIR2DL4
Q99835 SMO
Q99965 ADAM2
Q9BQ51 PDCD1LG2
Q9BRK3 MXRA8
Q9BTN0 LRFN3
Q9BX67 JAM3
Q9BXJ1 C1QTNF1
Q9BY67 CADM1
Q9BYE9 CDHR2
Q9BYF1 ACE2
Q9BZD6 PRRG4
Q9BZG2 ACP4
Q9BZM4 ULBP3
Q9BZM5 ULBP2
Q9BZM6 ULBP1
Q9BZR6 RTN4R
Q9BZW8 CD244
Q9BZZ2 SIGLEC1
Q9C0C4 SEMA4C
Q9H156 SLITRK2
Q9H158 PCDHAC1
Q9H2E6 SEMA6A
Q9H3S1 SEMA4A
Q9H3T2 SEMA6C
Q9H3T3 SEMA6B
Q9H5V8 CDCP1
Q9H5Y7 SLITRK6
Q9H6B4 CLMP
Q9H7M9 VSIR
Q9HAV5 EDA2R
Q9HBW0 LPAR2
Q9HBW1 LRRC4
Q9HCJ2 LRRC4C
Q9HCM2 PLXNA4
Q9HCN6 GP6
Q9HD43 PTPRH
Q9HDB5 NRXN3
Q9NNX6 CD209
Q9NP60 IL1RAPL2
Q9NP84 TNFRSF12A
Q9NP99 TREM1
Q9NPF0 CD320
Q9NPG1 FZD3
Q9NPH3 IL1RAP
Q9NPR2 SEMA4B
Q9NQS3 NECTIN3
Q9NR61 DLL4
Q9NRR2 TPSG1
Q9NT99 LRRC4B
Q9NTN9 SEMA4G
Q9NY15 STAB1
Q9NYJ7 DLL3
Q9NYZ4 SIGLEC8
Q9NZ53 PODXL2
Q9NZ94 NLGN3
Q9NZC2 TREM2
Q9NZN1 IL1RAPL1
Q9NZQ7 CD274
Q9NZU0 FLRT3
Q9NZU1 FLRT1
Q9P121 NTM
Q9P1W8 SIRPG
Q9P232 CNTN3
Q9P283 SEMA5B
Q9P2S2 NRXN2
Q9UBY5 LPAR3
Q9UF33 EPHA6
Q9UGN4 CD300A
Q9UHC6 CNTNAP2
Q9UHF4 IL20RA
Q9UHP7 CLEC2D
Q9UIW2 PLXNA1
Q9UKJ0 PILRB
Q9UKJ1 PILRA
Q9UKJ8 ADAM21
Q9UKQ2 ADAM28
Q9UKY0 PRND
Q9ULB1 NRXN1
Q9ULB4 CDH9
Q9ULL4 PLXNB3
Q9ULV1 FZD4
Q9UM44 HHLA2
Q9UM47 NOTCH3
Q9UMF0 ICAM5
Q9UN72 PCDHA7
Q9UN73 PCDHA6
Q9UN74 PCDHA4
Q9UN75 PCDHA12
Q9UNG2 TNFSF18
Q9UNN8 PROCR
Q9UQ52 CNTN6
Q9UQP3 TNN
Q9Y219 JAG2
Q9Y275 TNFSF13B
Q9Y279 VSIG4
Q9Y286 SIGLEC7
Q9Y287 ITM2B
Q9Y2C9 TLR6
Q9Y2I2 NTNG1
Q9Y2J0 RPH3A
Q9Y336 SIGLEC9
Q9Y4C0 NRXN3
Q9Y4D7 PLXND1
Q9Y5E6 PCDHB3
Q9Y5F9 PCDHGB6
Q9Y5H5 PCDHA9
Q9Y5H6 PCDHA8
Q9Y5H7 PCDHA5
Q9Y5H8 PCDHA3
Q9Y5H9 PCDHA2
Q9Y5I0 PCDHA13
Q9Y5I1 PCDHA11
Q9Y5I2 PCDHA10
Q9Y5I3 PCDHA1
Q9Y5Q5 CORIN
Q9Y5U5 TNFRSF18
Q9Y624 F11R
Q9Y625 GPC6
Q9Y639 NPTN
Q9Y6C5 PTCH2
Q9Y6N6 LAMC3
Q9Y6N7 ROBO1
Q9Y6Q6 TNFRSF11A
Q9Y6W8 ICOS
P50552 VASP
Q02297 NRG1
Q14952 KIR2DS3
O60235 TMPRSS11D
O75078 ADAM11
O75976 CPD
P04839 CYBB
P08473 MME
P12821 ACE
P14384 CPM
P15144 ANPEP
P22413 ENPP1
P56817 BACE1
Q12891 HYAL2
Q13822 ENPP2
Q9C0B5 ZDHHC5
Q9H013 ADAM19
Q9H2U9 ADAM7
Q9H8J5 MANSC1
Q9NPA2 MMP25
Q9UKF5 ADAM29
Q9ULZ9 MMP17
Q9Y5Z0 BACE2
COMPLEX:P01374_Q06643 LTA_LTB
O00182 LGALS9
O00468 AGRN
O14511 NRG2
O14944 EREG
O43323 DHH
O94991 SLITRK5
P01133 EGF
P01135 TGFA
P01374 LTA
P01375 TNF
P01906 HLA-DQA2
P01909 HLA-DQA1
P01920 HLA-DQB1
P04440 HLA-DPB1
P06734 FCER2
P08582 MELTF
P09603 CSF1
P10600 TGFB3
P11229 CHRM1
P13385 TDGF1
P13762 HLA-DRB4
P13765 HLA-DOB
P14555 PLA2G2A
P15514 AREG
P20036 HLA-DPA1
P20309 CHRM3
P21583 KITLG
P28067 HLA-DMA
P28068 HLA-DMB
P28335 HTR2C
P29965 CD40LG
P35070 BTC
P41273 TNFSF9
P43026 GDF5
P46379 BAG6
P49768 PSEN1
P49771 FLT3LG
P50591 TNFSF10
P51654 GPC3
P56975 NRG3
P61769 B2M
P78423 CX3CL1
P79483 HLA-DRB3
Q13410 BTN1A1
Q14623 IHH
Q14943 KIR3DS1
Q30154 HLA-DRB5
Q86YL7 PDPN
Q8WVN6 SECTM1
Q8WWG1 NRG4
Q96B86 RGMA
Q96PX8 SLITRK1
Q9H2A7 CXCL16
Q9H461 FZD8
Q9NR96 TLR9
Q9NRA1 PDGFC
Q9NRV9 HEBP1
Q9NUP9 LIN7C
Q9NZR2 LRP1B
Q9P126 CLEC1B
Q9P2M7 CGN
Q9UBR5 CKLF
A6NMZ7 COL6A6
A8TX70 COL6A5
O00622 CCN1
O00634 NTN3
O00744 WNT10B
O00755 WNT7A
O14904 WNT9A
O14905 WNT9B
O15072 ADAMTS3
O15520 FGF10
O60882 MMP20
O75093 SLIT1
O75094 SLIT3
O75173 ADAMTS4
O75829 CNMD
O94813 SLIT2
O94898 LRIG2
O95388 CCN4
O95428 PAPLN
O95631 NTN1
O95967 EFEMP2
O95970 LGI1
O96014 WNT11
P01137 TGFB1
P02461 COL3A1
P02462 COL4A1
P02649 APOE
P02671 FGA
P02675 FGB
P02679 FGG
P03950 ANG
P03956 MMP1
P03973 SLPI
P04004 VTN
P04275 VWF
P05997 COL5A2
P07478 PRSS2
P08253 MMP2
P08254 MMP3
P08493 MGP
P08572 COL4A2
P08670 VIM
P09237 MMP7
P09382 LGALS1
P09486 SPARC
P09544 WNT2
P10451 SPP1
P10646 TFPI
P10745 RBP3
P10915 HAPLN1
P11226 MBL2
P12107 COL11A1
P12109 COL6A1
P12110 COL6A2
P12111 COL6A3
P12644 BMP4
P13497 BMP1
P13942 COL11A2
P14543 NID1
P14780 MMP9
P17936 IGFBP3
P18075 BMP7
P19957 PI3
P20774 OGN
P20849 COL9A1
P20908 COL5A1
P21246 PTN
P21754 ZP3
P21810 BGN
P21941 MATN1
P21980 TGM2
P22692 IGFBP4
P22894 MMP8
P23142 FBLN1
P24347 MMP11
P25067 COL8A2
P27658 COL8A1
P29279 CCN2
P29400 COL4A5
P35247 SFTPD
P35555 FBN1
P35625 TIMP3
P36955 SERPINF1
P39019 RPS19
P39059 COL15A1
P39900 MMP12
P41221 WNT5A
P45452 MMP13
P48745 CCN3
P49747 COMP
P51884 LUM
P53420 COL4A4
P53621 COPA
P54108 CRISP3
P55001 MFAP2
P55259 GP2
P56703 WNT3
P56705 WNT4
P56706 WNT7B
P61812 TGFB2
P98066 TNFAIP6
P98095 FBLN2
Q01955 COL4A3
Q02388 COL7A1
Q03692 COL10A1
Q05707 COL14A1
Q06828 FMOD
Q07092 COL16A1
Q07654 TFF3
Q08431 MFGE8
Q08830 FGL1
Q12805 EFEMP1
Q13316 DMP1
Q13361 MFAP5
Q14031 COL4A6
Q14050 COL9A3
Q14055 COL9A2
Q14766 LTBP1
Q14993 COL19A1
Q15113 PCOLCE
Q15848 ADIPOQ
Q16270 IGFBP7
Q16610 ECM1
Q17RW2 COL24A1
Q2I0M5 RSPO4
Q2MKA7 RSPO1
Q2UY09 COL28A1
Q6PCB0 VWA1
Q6UXA7 C6orf15
Q6UXI9 NPNT
Q6UXX9 RSPO2
Q6UY18 LINGO4
Q6WRI0 IGSF10
Q76LX8 ADAMTS13
Q8IZC6 COL27A1
Q8N0V4 LGI2
Q8N135 LGI4
Q8N145 LGI3
Q8NFW1 COL22A1
Q8TAX7 MUC7
Q8WX77 IGFBPL1
Q92954 PRG4
Q93097 WNT2B
Q93098 WNT8B
Q96A83 COL26A1
Q96CG8 CTHRC1
Q96GW7 BCAN
Q96HF1 SFRP2
Q96P44 COL21A1
Q99102 MUC4
Q99217 AMELX
Q99218 AMELY
Q99435 NELL2
Q99542 MMP19
Q99715 COL12A1
Q99727 TIMP4
Q99969 RARRES2
Q99972 MYOC
Q9BQB4 SOST
Q9BUD6 SPON2
Q9BXN1 ASPN
Q9BXY4 RSPO3
Q9BY76 ANGPTL4
Q9BZV3 IMPG2
Q9GZT5 WNT10A
Q9H1J5 WNT8A
Q9H1J7 WNT5B
Q9H3R2 MUC13
Q9H8L6 MMRN2
Q9HB63 NTN4
Q9HCB6 SPON1
Q9NP70 AMBN
Q9NQ30 ESM1
Q9NR99 MXRA5
Q9NRE1 MMP26
Q9NRM1 ENAM
Q9NS15 LTBP3
Q9NZW4 DSPP
Q9P218 COL20A1
Q9UBV4 WNT16
Q9UGM3 DMBT1
Q9UHI8 ADAMTS1
Q9UMD9 COL17A1
Q9UNA0 ADAMTS5
Q9Y215 COLQ
Q9Y6C2 EMILIN1
Q9Y6F9 WNT6
P00734 F2
P00740 F9
P00742 F10
P00747 PLG
P00748 F12
P00749 PLAU
P00750 PLAT
P01008 SERPINC1
P01009 SERPINA1
P01011 SERPINA3
P01019 AGT
P01023 A2M
P01033 TIMP1
P01042 KNG1
P04196 HRG
P05120 SERPINB2
P05121 SERPINE1
P05154 SERPINA5
P05155 SERPING1
P07093 SERPINE2
P07477 PRSS1
P07711 CTSL
P07858 CTSB
P08246 ELANE
P08519 LPA
P08709 F7
P08861 CELA3B
P16035 TIMP2
P19823 ITIH2
P20742 PZP
P25774 CTSS
P29122 PCSK6
P30740 SERPINB1
P35030 PRSS3
P43235 CTSK
P48740 MASP1
Q15828 CST6
Q8IXL6 FAM20C
Q9Y251 HPSE
Q68DV7 RNF43
Q8NFM7 IL17RD
Q9ULT6 ZNRF3
A0A1B0GTJ6 LOC101059948
COMPLEX:O75462_Q9UBD9 CLCF1_CRLF1
COMPLEX:P00451_P00740 F8_F9
COMPLEX:P01215_P01222 CGA_TSHB
COMPLEX:P01215_P01225 CGA_FSHB
COMPLEX:P01215_P01229 CGA_LHB
COMPLEX:P05067_P49768_P56817 APP_BACE1_PSEN1
COMPLEX:P05067_P56817 APP_BACE1
COMPLEX:P05109_P06702 S100A8_S100A9
COMPLEX:P05111_P08476 INHA_INHBA
COMPLEX:P05111_P09529 INHA_INHBB
COMPLEX:P08476_P09529 INHBA_INHBB
COMPLEX:P09603_Q6ZMJ4 CSF1_IL34
COMPLEX:P29459_P29460 IL12A_IL12B
COMPLEX:P29459_Q14213 EBI3_IL12A
COMPLEX:P29459_Q8NEV9 IL12A_IL27
COMPLEX:P29460_Q9NPF7 IL12B_IL23A
COMPLEX:Q14213_Q8NEV9 EBI3_IL27
COMPLEX:Q16552_Q96PD4 IL17A_IL17F
K9M1U5 IFNL4
O00175 CCL24
O00230 CORT
O00253 AGRP
O00292 LEFTY2
O00585 CCL21
O00602 FCN1
O00626 CCL22
O14508 SOCS2
O14625 CXCL11
O14793 MSTN
O15041 SEMA3E
O15123 ANGPT2
O15130 NPFF
O15240 VGF
O15263 DEFB4B
O15444 CCL25
O15467 CCL16
O43320 FGF16
O43555 GNRH2
O43559 FRS3
O43612 HCRT
O43827 ANGPTL7
O43866 CD5L
O43915 VEGFD
O43927 CXCL13
O60258 FGF17
O60383 GDF9
O60542 PSPN
O60565 GREM1
O75462 CRLF1
O75594 PGLYRP1
O75610 LEFTY1
O76093 FGF18
O94907 DKK1
O95025 SEMA3D
O95156 NXPH2
O95157 NXPH3
O95171 SCEL
O95389 CCN6
O95390 GDF11
O95393 BMP10
O95399 UTS2
O95715 CXCL14
O95750 FGF19
O95760 IL33
O95813 CER1
O95841 ANGPTL1
O95897 OLFM2
O95972 BMP15
O95998 IL18BP
P00450 CP
P00738 HP
P01127 PDGFB
P01138 NGF
P01148 GNRH1
P01160 NPPA
P01178 OXT
P01185 AVP
P01189 POMC
P01210 PENK
P01213 PDYN
P01215 CGA
